suburb,responsible_authority,rest_area_name,description,site_status,latitude,longitude,lga,region,distance_from,road_name,road_number,link_no,carriageway_code,ne_unique,carriageway_configuration,side_of_road,category,vehicle_type,separated_parking_areas_light_heavy,shade,sign_non_potable,power_outlets,playground,litter_bins,emergency_phones,accessible,access_direction,lighting,tree_shading,tourist_information,sports_ground,shelter,bbq,picnic_table,toilets,baby_change_facilities,lookout,caravan_disposal,power_supply,driver_reviver,food_available,fuel_available,boat_ramp,pets_allowed,water_supply_type,access_direction_cardinal,guid,last_updated
BARRABA,COUNCIL,Lillis Lane - Barraba Show Ground,,,-30.3708,150.60699,TAMWORTH,NORTHERN REGION,1.1km North of Barraba,QUEEN STREET,0000063,0205,A1,"0000063,0205,A1",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,AC4597D9E4BB2216,2021-10-25 14:56:44+00
APPIN,COUNCIL,Appin Park,,,-34.19944,150.78889,WOLLONDILLY,SOUTHERN REGION,At Appin,APPIN RD,0000177,0060,A2,"0000177,0060,A2",,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,BOTH,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TOWN SUPPLY,BOTH,0D6E6681EA68C0D7,2021-10-25 14:56:43+00
CRYON,RMS,,,,-30.00549,148.61279,WALGETT,WESTERN REGION,,KAMILAROI HIGHWAY,0000029,0530,A1,"0000029,0530,A1",,LEFT,INFORMAL PARKING AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,86A3B869D84AA1CB,2021-10-25 14:56:43+00
EDEN,COUNCIL,Information Bay south of Eden,,,-37.06406,149.8947,BEGA VALLEY,SOUTHERN REGION,1km South of Eden,BOYD ST,0000001,2530,A3,"0000001,2530,A3",,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,B504108EE626435E,
MOONBI,COUNCIL,Moonbi,,,-31.019,151.07001,TAMWORTH,NORTHERN REGION,21.860km North of Tamworth,NEW ENGLAND HIGHWAY,0000009,1014,A1,"0000009,1014,A1",,LEFT,REST AREA,LIGHT VEHICLES ONLY,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,BOTH,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,D358218F4807B3D0,2021-10-25 14:56:44+00
DORRIGO,COUNCIL,Oak Street,,,-30.3414,152.7005,BELLINGEN,NORTHERN REGION,1.3km West of Dorrigo,WATERFALL WAY,0000076,0120,A1,"0000076,0120,A1",,LEFT,PARKING AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,PRESCRIBED,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,,D33A0014B65F36E1,2021-10-25 14:56:44+00
DORRIGO MOUNTAIN,RMS,Newell Falls,,OPEN,-30.3945,152.74601,BELLINGEN,NORTHERN REGION,20.5km West of Bellingen,WATERFALL WAY,0000076,0060,A1,"0000076,0060,A1",MAIN CARRIAGEWAY,RIGHT,REST AREA,LIGHT VEHICLES ONLY,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,A893283292E7D772,2021-10-25 14:56:44+00
TILBA TILBA,RMS,Bobundara Rest Area Tilba N/B,,,-36.32257,150.07167,EUROBODALLA,SOUTHERN REGION,16km South of Narooma,PRINCES HIGHWAY,0000001,2216,A1,"0000001,2216,A1",,RIGHT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,BOTH,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,D9BCA64F23664B0B,2021-10-25 14:56:44+00
ROBIN HILL,RMS,,,,-33.43441,149.53292,BATHURST REGIONAL,WESTERN REGION,29.7km East of Blayney,MID WESTERN HIGHWAY,0000006,0030,A2,"0000006,0030,A2",,LEFT,REST AREA,BOTH LIGHT AND HEAVY VEHICLES,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,BOTH,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,7E54E417F7980F83,2021-10-25 14:56:45+00
GRENFELL,RMS,,,,-33.90856,148.26521,WEDDIN,WESTERN REGION,8.3-9.6km East of Grenfell,MID WESTERN HIGHWAY,0000006,0420,A1,"0000006,0420,A1",,RIGHT,REST AREA,HEAVY VEHICLES ONLY,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,BOTH,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NONE,BOTH,77BA4EC367DBF59B,2021-10-25 14:56:45+00
